satellite_source,mine_id,zone_id,ndvi,ndwi,land_surface_temp_c,soil_moisture_satellite_pct,cloud_coverage_pct,data_quality_flag,timestamp
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.36,0.042,39.1,23.5,11.5,CLEAR,2026-02-21T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.392,-0.023,40.6,22.7,2.7,CLEAR,2026-02-21T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.416,0.077,38.2,19.4,14.9,CLEAR,2026-02-21T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_NORTH_A,0.153,-0.101,32.0,17.6,17.0,CLEAR,2026-02-24T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.193,0.05,32.3,19.0,16.8,CLEAR,2026-02-24T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.394,-0.14,39.3,21.8,12.5,HAZY,2026-02-24T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.403,-0.152,36.4,25.5,11.4,CLEAR,2026-02-24T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.35,-0.124,39.4,25.8,4.4,CLEAR,2026-02-24T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_NORTH_A,0.166,-0.113,40.9,26.8,4.6,CLEAR,2026-02-27T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.137,0.113,36.5,17.5,8.3,CLEAR,2026-02-27T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.351,-0.067,39.3,26.9,17.2,CLEAR,2026-02-27T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.398,-0.19,39.7,16.9,9.8,CLEAR,2026-02-27T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.355,-0.178,39.7,24.6,5.2,HAZY,2026-02-27T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_NORTH_A,0.15,-0.2,39.8,17.6,15.3,CLEAR,2026-03-02T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.151,-0.183,32.9,18.1,8.5,CLEAR,2026-03-02T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.409,-0.144,34.4,26.1,13.4,CLEAR,2026-03-02T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_EAST_D,0.378,-0.134,38.4,16.4,12.8,CLEAR,2026-03-02T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.407,-0.1,35.1,25.9,17.5,CLEAR,2026-03-02T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_NORTH_A,0.153,-0.093,40.9,22.8,3.2,CLEAR,2026-03-05T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.174,-0.15,39.0,24.5,15.9,CLEAR,2026-03-05T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.403,-0.162,34.1,22.8,10.9,CLEAR,2026-03-05T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.411,-0.045,42.1,18.0,8.3,CLEAR,2026-03-05T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.381,-0.156,40.7,18.1,3.0,CLEAR,2026-03-05T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_NORTH_A,0.136,-0.082,40.1,22.1,6.3,CLEAR,2026-03-08T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.191,-0.042,34.9,17.6,5.3,CLEAR,2026-03-08T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.354,-0.191,41.3,18.3,15.2,CLEAR,2026-03-08T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_EAST_D,0.385,0.072,32.9,19.2,4.2,CLEAR,2026-03-08T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_WEST_E,0.409,-0.169,41.9,26.0,9.9,CLEAR,2026-03-08T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_NORTH_A,0.171,0.002,36.8,62.2,11.0,HAZY,2026-03-11T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.199,0.008,41.4,56.2,4.4,CLEAR,2026-03-11T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.363,0.141,35.6,60.9,7.3,HAZY,2026-03-11T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.379,-0.099,39.2,56.8,5.7,CLEAR,2026-03-11T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.375,0.033,33.1,62.6,17.4,CLEAR,2026-03-11T10:30:00Z
