borehole_id,mine_id,zone_id,latitude,longitude,depth_meters,mn_grade_pct,fe_grade_pct,sio2_pct,phosphorus_pct,rock_formation,subsurface_layer,timestamp
BH-136,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.80796,80.17936,137.7,30.16,10.57,19.62,0.09,Chorbaoli Quartzite,Secondary Enriched,2026-03-09T11:00:00Z
BH-137,MINE_BALAGHAT_01,ZONE_EAST_D,21.81646,80.19034,142.2,14.81,10.71,29.24,0.145,Tirodi Biotite Gneiss,Overburden,2026-03-10T11:00:00Z
BH-138,MINE_BALAGHAT_01,ZONE_EAST_D,21.81707,80.19066,47.5,26.04,10.85,33.48,0.086,Tirodi Biotite Gneiss,Overburden,2026-03-12T15:00:00Z
BH-139,MINE_BALAGHAT_01,ZONE_EAST_D,21.81736,80.19037,103.3,26.13,14.31,30.67,0.164,Chorbaoli Quartzite,Overburden,2026-03-13T13:00:00Z
BH-140,MINE_BALAGHAT_01,ZONE_EAST_D,21.81627,80.19173,60.6,15.22,12.34,28.7,0.184,Chorbaoli Quartzite,Overburden,2026-03-06T08:00:00Z
BH-141,MINE_BALAGHAT_01,ZONE_EAST_D,21.81677,80.19246,80.5,22.5,11.01,34.03,0.186,Tirodi Biotite Gneiss,Overburden,2026-03-06T12:00:00Z
BH-142,MINE_BALAGHAT_01,ZONE_EAST_D,21.81475,80.19014,140.9,15.05,11.9,24.3,0.206,Chorbaoli Quartzite,Overburden,2026-03-06T09:00:00Z
BH-143,MINE_BALAGHAT_01,ZONE_EAST_D,21.81492,80.1923,157.9,24.5,12.16,22.18,0.207,Chorbaoli Quartzite,Overburden,2026-03-13T15:00:00Z
BH-144,MINE_BALAGHAT_01,ZONE_EAST_D,21.81481,80.19006,57.8,26.73,9.64,30.49,0.219,Tirodi Biotite Gneiss,Overburden,2026-03-08T13:00:00Z
BH-145,MINE_BALAGHAT_01,ZONE_EAST_D,21.8145,80.19127,39.3,24.08,10.3,27.5,0.167,Chorbaoli Quartzite,Overburden,2026-03-05T08:00:00Z
BH-146,MINE_BALAGHAT_01,ZONE_EAST_D,21.81582,80.19181,88.6,20.55,9.21,33.89,0.11,Tirodi Biotite Gneiss,Overburden,2026-03-04T14:00:00Z
BH-147,MINE_BALAGHAT_01,ZONE_EAST_D,21.81499,80.1927,106.4,16.6,10.57,27.67,0.088,Tirodi Biotite Gneiss,Overburden,2026-03-08T16:00:00Z
BH-148,MINE_BALAGHAT_01,ZONE_EAST_D,21.81677,80.19172,17.9,14.3,11.33,29.51,0.095,Tirodi Biotite Gneiss,Overburden,2026-03-12T14:00:00Z
BH-149,MINE_BALAGHAT_01,ZONE_WEST_E,21.80954,80.17679,38.1,14.76,9.82,34.04,0.213,Chorbaoli Quartzite,Overburden,2026-03-06T09:00:00Z
BH-150,MINE_BALAGHAT_01,ZONE_WEST_E,21.8103,80.17678,82.1,26.58,13.84,27.64,0.167,Tirodi Biotite Gneiss,Overburden,2026-03-11T08:00:00Z
BH-151,MINE_BALAGHAT_01,ZONE_WEST_E,21.80974,80.17584,109.4,24.35,9.46,31.96,0.136,Chorbaoli Quartzite,Overburden,2026-03-13T10:00:00Z
BH-152,MINE_BALAGHAT_01,ZONE_WEST_E,21.81066,80.17604,90.3,21.9,9.64,31.44,0.127,Tirodi Biotite Gneiss,Overburden,2026-03-12T16:00:00Z
BH-153,MINE_BALAGHAT_01,ZONE_WEST_E,21.80985,80.17584,57.1,18.81,13.07,31.98,0.083,Tirodi Biotite Gneiss,Overburden,2026-03-08T10:00:00Z
BH-154,MINE_BALAGHAT_01,ZONE_WEST_E,21.81224,80.17728,133.5,14.79,13.16,32.69,0.112,Chorbaoli Quartzite,Overburden,2026-03-03T10:00:00Z
BH-155,MINE_BALAGHAT_01,ZONE_WEST_E,21.81014,80.17621,55.4,22.5,11.07,21.56,0.096,Chorbaoli Quartzite,Overburden,2026-03-06T09:00:00Z
BH-156,MINE_BALAGHAT_01,ZONE_WEST_E,21.81051,80.17584,122.1,17.93,9.5,26.5,0.215,Tirodi Biotite Gneiss,Overburden,2026-03-07T11:00:00Z
BH-157,MINE_BALAGHAT_01,ZONE_WEST_E,21.81031,80.17569,43.1,16.27,11.74,21.48,0.19,Chorbaoli Quartzite,Overburden,2026-03-04T16:00:00Z
BH-158,MINE_BALAGHAT_01,ZONE_WEST_E,21.80982,80.17753,112.5,19.55,11.83,22.11,0.151,Chorbaoli Quartzite,Overburden,2026-03-02T10:00:00Z
BH-159,MINE_BALAGHAT_01,ZONE_WEST_E,21.80955,80.17599,52.7,18.6,9.86,28.78,0.103,Tirodi Biotite Gneiss,Overburden,2026-03-09T14:00:00Z
BH-160,MINE_BALAGHAT_01,ZONE_WEST_E,21.81162,80.17621,81.1,17.87,12.33,32.19,0.147,Tirodi Biotite Gneiss,Overburden,2026-03-11T11:00:00Z
