mine_id,date,rainfall_mm,soil_moisture_pct,ambient_temp_c,humidity_pct,wind_speed_kmh,flood_risk_index,timestamp
MINE_CHIKLA_07,2025-09-18,2.1,47.8,34.0,87.5,26.0,LOW,2025-09-18T18:00:00Z
MINE_UKWA_08,2025-09-18,0.8,46.7,32.7,90.3,30.7,LOW,2025-09-18T18:00:00Z
MINE_SITAPATORE_09,2025-09-18,3.1,54.9,29.5,81.5,24.2,LOW,2025-09-18T18:00:00Z
MINE_BELDONGRI_10,2025-09-18,1.2,46.3,32.7,83.8,25.5,LOW,2025-09-18T18:00:00Z
MINE_GUMGAON_02,2025-09-19,5.2,68.4,29.0,71.7,22.7,LOW,2025-09-19T18:00:00Z
MINE_TIRODI_03,2025-09-19,55.4,48.9,33.6,93.3,18.7,HIGH,2025-09-19T18:00:00Z
MINE_DONGRI_04,2025-09-19,3.3,55.8,29.4,87.5,24.8,LOW,2025-09-19T18:00:00Z
MINE_KANDRI_05,2025-09-19,43.4,70.4,27.0,78.5,28.5,MODERATE,2025-09-19T18:00:00Z
MINE_MANSAR_06,2025-09-19,20.0,59.8,33.4,74.4,21.5,LOW,2025-09-19T18:00:00Z
MINE_CHIKLA_07,2025-09-19,31.7,52.6,30.1,82.5,31.4,MODERATE,2025-09-19T18:00:00Z
MINE_UKWA_08,2025-09-19,60.8,49.2,31.8,71.0,29.1,HIGH,2025-09-19T18:00:00Z
MINE_SITAPATORE_09,2025-09-19,3.9,48.7,31.6,92.8,27.5,LOW,2025-09-19T18:00:00Z
MINE_BELDONGRI_10,2025-09-19,5.4,44.7,30.4,79.7,27.3,LOW,2025-09-19T18:00:00Z
MINE_GUMGAON_02,2025-09-20,3.6,46.4,31.0,77.2,24.0,LOW,2025-09-20T18:00:00Z
MINE_TIRODI_03,2025-09-20,5.7,64.1,29.6,76.4,18.5,LOW,2025-09-20T18:00:00Z
MINE_DONGRI_04,2025-09-20,4.1,61.5,31.9,84.1,28.3,LOW,2025-09-20T18:00:00Z
MINE_KANDRI_05,2025-09-20,4.2,66.7,29.5,77.9,21.8,LOW,2025-09-20T18:00:00Z
MINE_MANSAR_06,2025-09-20,53.3,41.7,31.5,93.4,24.4,HIGH,2025-09-20T18:00:00Z
MINE_CHIKLA_07,2025-09-20,38.2,70.4,30.5,85.6,27.1,MODERATE,2025-09-20T18:00:00Z
MINE_UKWA_08,2025-09-20,3.7,50.1,30.2,71.3,31.5,LOW,2025-09-20T18:00:00Z
MINE_SITAPATORE_09,2025-09-20,28.0,67.0,30.0,76.6,27.5,MODERATE,2025-09-20T18:00:00Z
MINE_BELDONGRI_10,2025-09-20,6.0,69.6,28.8,76.2,31.1,LOW,2025-09-20T18:00:00Z
MINE_GUMGAON_02,2025-09-21,1.6,40.1,27.3,85.7,20.8,LOW,2025-09-21T18:00:00Z
MINE_TIRODI_03,2025-09-21,55.7,66.8,29.6,89.7,20.5,HIGH,2025-09-21T18:00:00Z
MINE_DONGRI_04,2025-09-21,50.8,58.9,32.3,90.8,28.8,HIGH,2025-09-21T18:00:00Z
MINE_KANDRI_05,2025-09-21,1.3,71.0,32.1,81.7,20.9,LOW,2025-09-21T18:00:00Z
MINE_MANSAR_06,2025-09-21,41.3,44.5,29.7,82.1,20.6,MODERATE,2025-09-21T18:00:00Z
MINE_CHIKLA_07,2025-09-21,58.1,40.2,30.9,78.5,27.2,HIGH,2025-09-21T18:00:00Z
MINE_UKWA_08,2025-09-21,2.1,58.8,29.6,73.5,22.3,LOW,2025-09-21T18:00:00Z
MINE_SITAPATORE_09,2025-09-21,36.3,40.6,31.1,89.6,30.0,MODERATE,2025-09-21T18:00:00Z
MINE_BELDONGRI_10,2025-09-21,2.0,55.7,30.8,80.2,26.5,LOW,2025-09-21T18:00:00Z
MINE_GUMGAON_02,2025-09-22,1.2,46.5,33.4,71.8,30.7,LOW,2025-09-22T18:00:00Z
MINE_TIRODI_03,2025-09-22,47.9,50.8,28.3,84.7,22.5,HIGH,2025-09-22T18:00:00Z
MINE_DONGRI_04,2025-09-22,3.2,59.7,31.8,94.9,24.2,LOW,2025-09-22T18:00:00Z
MINE_KANDRI_05,2025-09-22,2.6,70.9,32.2,90.0,24.0,LOW,2025-09-22T18:00:00Z
MINE_MANSAR_06,2025-09-22,30.8,52.1,32.8,89.7,21.5,MODERATE,2025-09-22T18:00:00Z
MINE_CHIKLA_07,2025-09-22,64.7,65.1,32.1,72.0,30.1,HIGH,2025-09-22T18:00:00Z
MINE_UKWA_08,2025-09-22,1.9,70.4,28.4,84.0,19.2,LOW,2025-09-22T18:00:00Z
MINE_SITAPATORE_09,2025-09-22,5.0,68.9,28.7,92.8,24.4,LOW,2025-09-22T18:00:00Z
MINE_BELDONGRI_10,2025-09-22,21.7,51.4,30.3,82.2,22.2,MODERATE,2025-09-22T18:00:00Z
MINE_GUMGAON_02,2025-09-23,33.3,71.1,32.8,80.9,19.7,MODERATE,2025-09-23T18:00:00Z
MINE_TIRODI_03,2025-09-23,53.7,63.2,29.2,76.9,24.8,HIGH,2025-09-23T18:00:00Z
MINE_DONGRI_04,2025-09-23,29.0,42.0,27.8,88.4,25.0,MODERATE,2025-09-23T18:00:00Z
MINE_KANDRI_05,2025-09-23,2.5,62.7,31.8,74.3,26.9,LOW,2025-09-23T18:00:00Z
MINE_MANSAR_06,2025-09-23,51.5,58.4,31.1,90.0,30.6,HIGH,2025-09-23T18:00:00Z
MINE_CHIKLA_07,2025-09-23,1.0,50.0,32.5,70.4,27.8,LOW,2025-09-23T18:00:00Z
MINE_UKWA_08,2025-09-23,58.5,44.4,31.9,77.2,21.8,HIGH,2025-09-23T18:00:00Z
MINE_SITAPATORE_09,2025-09-23,5.5,51.2,30.2,89.9,19.0,LOW,2025-09-23T18:00:00Z
MINE_BELDONGRI_10,2025-09-23,4.0,43.5,33.7,86.2,23.3,LOW,2025-09-23T18:00:00Z
MINE_GUMGAON_02,2025-09-24,32.8,57.5,32.9,84.4,30.5,MODERATE,2025-09-24T18:00:00Z
MINE_TIRODI_03,2025-09-24,56.5,49.9,30.1,80.0,30.9,HIGH,2025-09-24T18:00:00Z
MINE_DONGRI_04,2025-09-24,5.7,64.1,29.8,79.3,24.6,LOW,2025-09-24T18:00:00Z
MINE_KANDRI_05,2025-09-24,36.8,48.1,33.8,71.2,22.9,MODERATE,2025-09-24T18:00:00Z
MINE_MANSAR_06,2025-09-24,49.5,69.7,32.9,73.5,24.1,HIGH,2025-09-24T18:00:00Z
MINE_CHIKLA_07,2025-09-24,33.1,45.9,30.4,71.6,26.0,MODERATE,2025-09-24T18:00:00Z
MINE_UKWA_08,2025-09-24,3.0,44.3,30.9,82.2,20.0,LOW,2025-09-24T18:00:00Z
MINE_SITAPATORE_09,2025-09-24,52.8,44.5,27.0,71.9,27.8,HIGH,2025-09-24T18:00:00Z
MINE_BELDONGRI_10,2025-09-24,19.9,68.5,28.2,90.7,24.5,LOW,2025-09-24T18:00:00Z
MINE_GUMGAON_02,2025-09-25,3.9,53.8,31.8,70.9,23.3,LOW,2025-09-25T18:00:00Z
MINE_TIRODI_03,2025-09-25,1.8,67.5,30.0,84.6,21.4,LOW,2025-09-25T18:00:00Z
MINE_DONGRI_04,2025-09-25,0.5,47.9,28.4,83.6,20.7,LOW,2025-09-25T18:00:00Z
MINE_KANDRI_05,2025-09-25,5.4,47.7,27.1,72.0,30.9,LOW,2025-09-25T18:00:00Z
MINE_MANSAR_06,2025-09-25,3.0,61.4,29.8,76.3,25.4,LOW,2025-09-25T18:00:00Z
MINE_CHIKLA_07,2025-09-25,41.4,51.9,31.9,78.9,26.0,MODERATE,2025-09-25T18:00:00Z
MINE_UKWA_08,2025-09-25,21.5,46.2,31.3,93.4,22.9,MODERATE,2025-09-25T18:00:00Z
MINE_SITAPATORE_09,2025-09-25,3.1,50.2,33.6,93.9,30.3,LOW,2025-09-25T18:00:00Z
MINE_BELDONGRI_10,2025-09-25,41.6,62.8,27.6,76.0,22.9,MODERATE,2025-09-25T18:00:00Z
MINE_GUMGAON_02,2025-09-26,37.9,59.8,33.8,76.2,31.8,MODERATE,2025-09-26T18:00:00Z
MINE_TIRODI_03,2025-09-26,3.3,65.8,29.5,92.1,25.5,LOW,2025-09-26T18:00:00Z
MINE_DONGRI_04,2025-09-26,0.4,60.9,33.5,78.2,27.6,LOW,2025-09-26T18:00:00Z
MINE_KANDRI_05,2025-09-26,4.2,59.2,32.2,94.8,28.8,LOW,2025-09-26T18:00:00Z
MINE_MANSAR_06,2025-09-26,2.6,48.4,30.0,85.1,26.9,LOW,2025-09-26T18:00:00Z
MINE_CHIKLA_07,2025-09-26,62.6,58.9,29.8,92.1,31.1,HIGH,2025-09-26T18:00:00Z
MINE_UKWA_08,2025-09-26,38.3,67.5,32.9,82.1,26.3,MODERATE,2025-09-26T18:00:00Z
MINE_SITAPATORE_09,2025-09-26,40.6,63.3,31.2,94.7,19.3,MODERATE,2025-09-26T18:00:00Z
MINE_BELDONGRI_10,2025-09-26,0.8,71.6,32.7,82.4,19.1,LOW,2025-09-26T18:00:00Z
MINE_GUMGAON_02,2025-09-27,4.1,71.9,29.2,88.0,27.5,LOW,2025-09-27T18:00:00Z
MINE_TIRODI_03,2025-09-27,18.4,57.3,31.6,74.0,30.8,LOW,2025-09-27T18:00:00Z
MINE_DONGRI_04,2025-09-27,58.4,51.7,27.5,71.0,21.8,HIGH,2025-09-27T18:00:00Z
MINE_KANDRI_05,2025-09-27,55.4,45.5,29.1,94.7,21.8,HIGH,2025-09-27T18:00:00Z
MINE_MANSAR_06,2025-09-27,0.9,43.0,29.4,80.2,26.9,LOW,2025-09-27T18:00:00Z
MINE_CHIKLA_07,2025-09-27,28.0,61.7,27.3,73.9,20.6,MODERATE,2025-09-27T18:00:00Z
MINE_UKWA_08,2025-09-27,24.0,47.7,30.8,93.9,18.2,MODERATE,2025-09-27T18:00:00Z
MINE_SITAPATORE_09,2025-09-27,41.2,50.0,33.0,88.9,29.7,MODERATE,2025-09-27T18:00:00Z
MINE_BELDONGRI_10,2025-09-27,30.9,45.1,28.0,77.1,22.2,MODERATE,2025-09-27T18:00:00Z
MINE_GUMGAON_02,2025-09-28,2.1,55.6,29.6,89.0,28.4,LOW,2025-09-28T18:00:00Z
MINE_TIRODI_03,2025-09-28,58.8,70.1,30.6,91.4,27.0,HIGH,2025-09-28T18:00:00Z
MINE_DONGRI_04,2025-09-28,3.6,54.9,28.0,76.7,22.2,LOW,2025-09-28T18:00:00Z
MINE_KANDRI_05,2025-09-28,0.5,69.0,27.1,82.1,27.4,LOW,2025-09-28T18:00:00Z
MINE_MANSAR_06,2025-09-28,49.9,62.5,28.7,93.2,28.6,HIGH,2025-09-28T18:00:00Z
MINE_CHIKLA_07,2025-09-28,3.8,47.1,30.1,78.6,24.2,LOW,2025-09-28T18:00:00Z
MINE_UKWA_08,2025-09-28,24.0,51.4,33.6,78.4,22.3,MODERATE,2025-09-28T18:00:00Z
MINE_SITAPATORE_09,2025-09-28,1.7,70.0,28.3,79.7,24.0,LOW,2025-09-28T18:00:00Z
MINE_BELDONGRI_10,2025-09-28,50.1,58.6,32.6,84.4,30.2,HIGH,2025-09-28T18:00:00Z
MINE_GUMGAON_02,2025-09-29,1.1,62.6,32.8,94.0,22.8,LOW,2025-09-29T18:00:00Z
MINE_TIRODI_03,2025-09-29,0.6,68.3,32.8,75.6,21.5,LOW,2025-09-29T18:00:00Z
MINE_DONGRI_04,2025-09-29,25.4,59.8,32.2,94.3,27.0,MODERATE,2025-09-29T18:00:00Z
MINE_KANDRI_05,2025-09-29,26.5,49.2,30.1,74.7,27.9,MODERATE,2025-09-29T18:00:00Z
MINE_MANSAR_06,2025-09-29,0.4,44.2,33.1,91.6,21.1,LOW,2025-09-29T18:00:00Z
MINE_CHIKLA_07,2025-09-29,4.1,43.5,33.9,78.7,21.4,LOW,2025-09-29T18:00:00Z
MINE_UKWA_08,2025-09-29,2.2,54.8,33.4,93.7,29.2,LOW,2025-09-29T18:00:00Z
MINE_SITAPATORE_09,2025-09-29,52.8,53.5,31.7,94.6,18.5,HIGH,2025-09-29T18:00:00Z
MINE_BELDONGRI_10,2025-09-29,2.3,60.9,31.7,85.0,18.6,LOW,2025-09-29T18:00:00Z
MINE_GUMGAON_02,2025-09-30,5.0,46.1,28.8,75.4,21.7,LOW,2025-09-30T18:00:00Z
MINE_TIRODI_03,2025-09-30,56.7,64.0,30.9,89.9,26.2,HIGH,2025-09-30T18:00:00Z
MINE_DONGRI_04,2025-09-30,25.3,64.3,33.5,70.2,18.8,MODERATE,2025-09-30T18:00:00Z
MINE_KANDRI_05,2025-09-30,1.0,68.5,30.1,87.9,21.3,LOW,2025-09-30T18:00:00Z
MINE_MANSAR_06,2025-09-30,41.9,67.1,30.6,92.1,24.2,MODERATE,2025-09-30T18:00:00Z
MINE_CHIKLA_07,2025-09-30,4.0,43.4,31.2,75.5,25.6,LOW,2025-09-30T18:00:00Z
MINE_UKWA_08,2025-09-30,19.9,41.4,27.3,71.5,23.9,LOW,2025-09-30T18:00:00Z
MINE_SITAPATORE_09,2025-09-30,0.8,56.5,33.0,86.1,24.7,LOW,2025-09-30T18:00:00Z
MINE_BELDONGRI_10,2025-09-30,33.5,52.9,30.9,73.0,20.3,MODERATE,2025-09-30T18:00:00Z
MINE_GUMGAON_02,2025-10-01,0.0,31.4,33.2,36.8,12.2,LOW,2025-10-01T18:00:00Z
MINE_TIRODI_03,2025-10-01,0.0,19.5,26.6,38.0,13.0,LOW,2025-10-01T18:00:00Z
MINE_DONGRI_04,2025-10-01,0.0,31.6,33.4,54.0,14.2,LOW,2025-10-01T18:00:00Z
MINE_KANDRI_05,2025-10-01,0.0,28.3,28.7,51.0,15.9,LOW,2025-10-01T18:00:00Z
MINE_MANSAR_06,2025-10-01,0.0,23.4,30.9,38.8,17.9,LOW,2025-10-01T18:00:00Z
MINE_CHIKLA_07,2025-10-01,11.9,21.9,35.0,53.6,14.0,LOW,2025-10-01T18:00:00Z
MINE_UKWA_08,2025-10-01,0.0,22.2,33.9,45.9,17.3,LOW,2025-10-01T18:00:00Z
MINE_SITAPATORE_09,2025-10-01,0.0,28.6,24.2,52.0,15.1,LOW,2025-10-01T18:00:00Z
MINE_BELDONGRI_10,2025-10-01,0.0,30.9,33.9,42.5,12.5,LOW,2025-10-01T18:00:00Z
MINE_GUMGAON_02,2025-10-02,0.0,29.5,34.3,44.4,15.1,LOW,2025-10-02T18:00:00Z
MINE_TIRODI_03,2025-10-02,0.0,25.0,26.6,54.8,12.6,LOW,2025-10-02T18:00:00Z
MINE_DONGRI_04,2025-10-02,0.0,21.4,30.7,46.5,12.9,LOW,2025-10-02T18:00:00Z
MINE_KANDRI_05,2025-10-02,0.0,23.3,25.8,43.6,13.3,LOW,2025-10-02T18:00:00Z
MINE_MANSAR_06,2025-10-02,0.0,20.6,37.1,38.6,10.5,LOW,2025-10-02T18:00:00Z
MINE_CHIKLA_07,2025-10-02,0.0,23.5,31.6,36.2,13.9,LOW,2025-10-02T18:00:00Z
MINE_UKWA_08,2025-10-02,0.0,25.0,25.7,47.4,11.6,LOW,2025-10-02T18:00:00Z
MINE_SITAPATORE_09,2025-10-02,0.0,18.4,36.5,48.8,14.8,LOW,2025-10-02T18:00:00Z
MINE_BELDONGRI_10,2025-10-02,0.0,26.2,24.5,50.1,15.4,LOW,2025-10-02T18:00:00Z
MINE_GUMGAON_02,2025-10-03,0.0,20.9,29.5,33.7,12.1,LOW,2025-10-03T18:00:00Z
MINE_TIRODI_03,2025-10-03,0.0,22.9,33.0,46.6,12.6,LOW,2025-10-03T18:00:00Z
MINE_DONGRI_04,2025-10-03,0.0,30.7,30.5,56.1,15.3,LOW,2025-10-03T18:00:00Z
MINE_KANDRI_05,2025-10-03,0.0,28.0,29.6,49.2,10.2,LOW,2025-10-03T18:00:00Z
MINE_MANSAR_06,2025-10-03,0.0,23.0,26.2,38.5,13.4,LOW,2025-10-03T18:00:00Z
MINE_CHIKLA_07,2025-10-03,0.0,25.7,33.6,36.2,17.4,LOW,2025-10-03T18:00:00Z
MINE_UKWA_08,2025-10-03,0.0,26.9,31.9,38.7,14.1,LOW,2025-10-03T18:00:00Z
MINE_SITAPATORE_09,2025-10-03,0.0,30.1,34.4,55.4,10.1,LOW,2025-10-03T18:00:00Z
MINE_BELDONGRI_10,2025-10-03,0.0,25.3,28.7,47.7,11.3,LOW,2025-10-03T18:00:00Z
MINE_GUMGAON_02,2025-10-04,0.0,18.9,29.3,51.0,11.2,LOW,2025-10-04T18:00:00Z
MINE_TIRODI_03,2025-10-04,0.0,28.4,28.6,50.6,11.3,LOW,2025-10-04T18:00:00Z
MINE_DONGRI_04,2025-10-04,0.0,31.1,34.0,54.7,17.4,LOW,2025-10-04T18:00:00Z
MINE_KANDRI_05,2025-10-04,0.0,25.7,26.3,56.9,15.8,LOW,2025-10-04T18:00:00Z
MINE_MANSAR_06,2025-10-04,0.0,18.8,34.9,49.0,12.0,LOW,2025-10-04T18:00:00Z
MINE_CHIKLA_07,2025-10-04,0.0,30.0,30.0,41.1,10.4,LOW,2025-10-04T18:00:00Z
MINE_UKWA_08,2025-10-04,0.0,31.3,32.4,50.8,10.7,LOW,2025-10-04T18:00:00Z
MINE_SITAPATORE_09,2025-10-04,5.2,24.2,26.4,52.8,13.1,LOW,2025-10-04T18:00:00Z
MINE_BELDONGRI_10,2025-10-04,0.0,24.3,31.3,43.2,17.8,LOW,2025-10-04T18:00:00Z
MINE_GUMGAON_02,2025-10-05,0.0,20.3,27.5,55.0,12.0,LOW,2025-10-05T18:00:00Z
MINE_TIRODI_03,2025-10-05,3.7,31.0,34.6,48.9,15.0,LOW,2025-10-05T18:00:00Z
MINE_DONGRI_04,2025-10-05,0.0,31.3,32.7,39.1,16.4,LOW,2025-10-05T18:00:00Z
MINE_KANDRI_05,2025-10-05,0.0,20.8,24.7,45.7,14.3,LOW,2025-10-05T18:00:00Z
MINE_MANSAR_06,2025-10-05,0.0,19.8,25.4,36.9,10.2,LOW,2025-10-05T18:00:00Z
MINE_CHIKLA_07,2025-10-05,0.0,27.9,27.7,41.8,10.5,LOW,2025-10-05T18:00:00Z
MINE_UKWA_08,2025-10-05,0.0,29.3,36.9,43.8,14.0,LOW,2025-10-05T18:00:00Z
MINE_SITAPATORE_09,2025-10-05,0.0,20.0,37.6,45.4,10.0,LOW,2025-10-05T18:00:00Z
MINE_BELDONGRI_10,2025-10-05,0.0,30.0,26.2,52.4,10.6,LOW,2025-10-05T18:00:00Z
MINE_GUMGAON_02,2025-10-06,0.0,24.0,29.1,30.9,15.0,LOW,2025-10-06T18:00:00Z
MINE_TIRODI_03,2025-10-06,0.0,17.6,26.1,32.0,11.6,LOW,2025-10-06T18:00:00Z
MINE_DONGRI_04,2025-10-06,0.0,22.3,34.6,36.1,10.5,LOW,2025-10-06T18:00:00Z
MINE_KANDRI_05,2025-10-06,0.0,25.5,26.5,34.7,10.4,LOW,2025-10-06T18:00:00Z
MINE_MANSAR_06,2025-10-06,0.0,24.8,36.8,43.5,10.3,LOW,2025-10-06T18:00:00Z
MINE_CHIKLA_07,2025-10-06,0.0,26.0,32.5,55.1,17.6,LOW,2025-10-06T18:00:00Z
MINE_UKWA_08,2025-10-06,0.0,28.4,30.8,39.0,17.2,LOW,2025-10-06T18:00:00Z
MINE_SITAPATORE_09,2025-10-06,0.0,16.2,33.8,49.3,15.2,LOW,2025-10-06T18:00:00Z
MINE_BELDONGRI_10,2025-10-06,0.0,28.0,25.1,43.0,17.0,LOW,2025-10-06T18:00:00Z
MINE_GUMGAON_02,2025-10-07,0.0,30.1,35.5,34.9,12.4,LOW,2025-10-07T18:00:00Z
MINE_TIRODI_03,2025-10-07,0.0,19.8,37.9,52.0,14.1,LOW,2025-10-07T18:00:00Z
MINE_DONGRI_04,2025-10-07,0.0,17.8,36.8,38.8,15.8,LOW,2025-10-07T18:00:00Z
MINE_KANDRI_05,2025-10-07,0.0,25.9,25.6,57.3,10.5,LOW,2025-10-07T18:00:00Z
MINE_MANSAR_06,2025-10-07,0.0,24.8,24.2,43.5,14.3,LOW,2025-10-07T18:00:00Z
MINE_CHIKLA_07,2025-10-07,0.0,16.5,27.6,31.3,11.9,LOW,2025-10-07T18:00:00Z
