satellite_source,mine_id,zone_id,ndvi,ndwi,land_surface_temp_c,soil_moisture_satellite_pct,cloud_coverage_pct,data_quality_flag,timestamp
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.36,0.042,39.1,23.5,11.5,CLEAR,2026-02-21T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.392,-0.023,40.6,22.7,2.7,CLEAR,2026-02-21T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.416,0.077,38.2,19.4,14.9,CLEAR,2026-02-21T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_NORTH_A,0.153,-0.101,32.0,17.6,17.0,CLEAR,2026-02-24T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.193,0.05,32.3,19.0,16.8,CLEAR,2026-02-24T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.394,-0.14,39.3,21.8,12.5,HAZY,2026-02-24T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.403,-0.152,36.4,25.5,11.4,CLEAR,2026-02-24T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.35,-0.124,39.4,25.8,4.4,CLEAR,2026-02-24T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_NORTH_A,0.166,-0.113,40.9,26.8,4.6,CLEAR,2026-02-27T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.137,0.113,36.5,17.5,8.3,CLEAR,2026-02-27T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.351,-0.067,39.3,26.9,17.2,CLEAR,2026-02-27T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.398,-0.19,39.7,16.9,9.8,CLEAR,2026-02-27T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.355,-0.178,39.7,24.6,5.2,HAZY,2026-02-27T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_NORTH_A,0.15,-0.2,39.8,17.6,15.3,CLEAR,2026-03-02T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.151,-0.183,32.9,18.1,8.5,CLEAR,2026-03-02T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.409,-0.144,34.4,26.1,13.4,CLEAR,2026-03-02T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_EAST_D,0.378,-0.134,38.4,16.4,12.8,CLEAR,2026-03-02T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.407,-0.1,35.1,25.9,17.5,CLEAR,2026-03-02T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_NORTH_A,0.153,-0.093,40.9,22.8,3.2,CLEAR,2026-03-05T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.174,-0.15,39.0,24.5,15.9,CLEAR,2026-03-05T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.403,-0.162,34.1,22.8,10.9,CLEAR,2026-03-05T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.411,-0.045,42.1,18.0,8.3,CLEAR,2026-03-05T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.381,-0.156,40.7,18.1,3.0,CLEAR,2026-03-05T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_NORTH_A,0.136,-0.082,40.1,22.1,6.3,CLEAR,2026-03-08T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.191,-0.042,34.9,17.6,5.3,CLEAR,2026-03-08T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.354,-0.191,41.3,18.3,15.2,CLEAR,2026-03-08T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_EAST_D,0.385,0.072,32.9,19.2,4.2,CLEAR,2026-03-08T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_WEST_E,0.409,-0.169,41.9,26.0,9.9,CLEAR,2026-03-08T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_NORTH_A,0.171,0.002,36.8,62.2,11.0,HAZY,2026-03-11T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.199,0.008,41.4,56.2,4.4,CLEAR,2026-03-11T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.363,0.141,35.6,60.9,7.3,HAZY,2026-03-11T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.379,-0.099,39.2,56.8,5.7,CLEAR,2026-03-11T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.375,0.033,33.1,62.6,17.4,CLEAR,2026-03-11T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_NORTH_A,0.145,-0.018,35.5,46.6,1.7,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.217,-0.066,33.2,35.2,4.7,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.329,-0.081,31.4,42.1,14.0,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.262,-0.227,38.9,35.2,9.5,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.463,-0.241,32.5,43.2,12.0,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_01,0.319,-0.17,34.1,27.6,20.6,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_02,0.249,-0.128,41.2,62.1,11.3,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_03,0.341,-0.182,37.8,57.8,12.8,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_04,0.249,-0.188,34.8,43.8,18.2,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_01,0.121,0.054,36.3,49.8,5.6,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_02,0.139,-0.206,36.6,38.8,12.7,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_03,0.349,-0.214,34.5,41.9,13.0,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_04,0.345,0.062,39.5,34.2,1.7,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_05,0.429,-0.237,41.4,28.0,7.1,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_01,0.16,0.0,36.7,58.0,10.8,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_02,0.167,-0.158,34.5,64.7,20.3,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_03,0.269,0.017,35.2,31.3,6.5,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_04,0.229,-0.217,31.0,42.8,3.3,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_05,0.223,0.008,36.2,67.8,7.6,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_01,0.201,-0.17,39.3,51.5,19.7,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_02,0.234,-0.051,37.9,40.5,12.3,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_03,0.238,-0.185,35.7,47.8,24.3,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_04,0.409,-0.216,40.5,64.6,11.9,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_01,0.22,-0.005,37.6,59.3,19.5,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_02,0.215,-0.224,34.1,31.5,14.5,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_03,0.255,-0.074,33.0,64.9,2.2,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_04,0.26,-0.228,30.6,33.0,12.6,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_01,0.127,0.004,39.1,42.9,0.3,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_02,0.277,-0.142,41.9,43.7,10.3,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_03,0.304,-0.162,36.1,22.2,17.4,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_04,0.237,-0.219,35.8,25.4,13.3,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_05,0.3,-0.095,37.6,49.7,13.5,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_01,0.211,-0.051,41.3,67.8,19.4,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_02,0.334,0.088,39.5,58.2,16.2,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_03,0.278,-0.154,36.9,33.5,7.9,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_04,0.324,-0.102,36.2,28.8,23.7,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_05,0.444,-0.235,32.0,35.8,12.8,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_SITAPATORE_09,ZONE_STP_01,0.215,-0.012,34.1,58.8,16.8,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_SITAPATORE_09,ZONE_STP_02,0.318,0.013,32.8,24.4,17.4,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_SITAPATORE_09,ZONE_STP_03,0.275,-0.24,38.2,34.9,12.3,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_SITAPATORE_09,ZONE_STP_04,0.349,-0.153,41.8,61.0,14.0,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_BELDONGRI_10,ZONE_BLD_01,0.349,-0.161,35.3,67.6,22.2,HAZE_CORRECTED,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_BELDONGRI_10,ZONE_BLD_02,0.224,0.096,32.4,41.3,7.1,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_BELDONGRI_10,ZONE_BLD_03,0.267,-0.074,34.8,31.8,11.2,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_BELDONGRI_10,ZONE_BLD_04,0.423,-0.055,38.4,44.1,5.5,CLEAR,2025-09-15T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_NORTH_A,0.2,0.029,35.5,40.7,17.6,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.217,-0.184,40.5,53.6,16.0,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.306,-0.107,36.8,48.8,10.7,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.316,-0.148,38.4,49.3,6.3,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.355,0.061,34.9,54.6,16.9,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_01,0.271,0.042,34.5,57.9,22.7,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_02,0.276,-0.126,34.1,42.8,17.9,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_03,0.333,-0.123,31.7,50.0,24.1,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_04,0.276,-0.105,36.4,53.3,20.1,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_01,0.211,-0.183,33.5,46.9,14.1,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_02,0.137,0.016,40.6,39.4,7.1,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_03,0.24,-0.136,32.2,60.3,9.7,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_04,0.296,-0.196,41.8,59.4,4.3,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_05,0.373,0.086,36.7,64.0,22.8,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_01,0.196,0.003,41.6,42.2,10.3,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_02,0.196,-0.044,30.0,60.4,12.7,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_03,0.323,0.085,33.6,44.6,2.3,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_04,0.224,-0.036,39.9,65.1,12.8,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_05,0.256,-0.138,31.4,46.1,19.4,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_01,0.215,0.039,35.6,67.1,21.7,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_02,0.327,0.011,32.5,58.4,17.0,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_03,0.235,-0.032,30.4,53.1,19.9,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_04,0.414,-0.186,40.8,25.0,23.5,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_01,0.256,-0.122,33.8,35.9,9.5,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_02,0.295,-0.056,41.7,53.5,16.7,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_03,0.3,0.014,39.4,40.1,21.8,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_04,0.251,-0.14,32.5,55.0,19.1,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_01,0.204,-0.209,36.9,22.3,0.7,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_02,0.265,-0.117,31.4,62.4,20.1,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_03,0.329,-0.019,32.3,25.6,9.5,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_04,0.203,-0.007,33.5,53.9,9.4,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_05,0.269,-0.044,36.1,35.5,5.8,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_01,0.189,0.058,34.6,50.5,11.3,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_02,0.269,0.046,34.3,40.1,0.4,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_03,0.283,-0.156,42.0,41.2,9.3,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_04,0.235,-0.066,31.9,51.0,15.2,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_05,0.414,-0.098,34.8,55.4,13.7,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_SITAPATORE_09,ZONE_STP_01,0.317,0.078,39.8,27.3,11.7,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_SITAPATORE_09,ZONE_STP_02,0.248,-0.055,33.5,35.3,0.5,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_SITAPATORE_09,ZONE_STP_03,0.263,-0.172,33.7,42.5,8.3,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_SITAPATORE_09,ZONE_STP_04,0.221,0.01,31.5,47.9,6.0,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_BELDONGRI_10,ZONE_BLD_01,0.268,-0.23,32.0,52.1,22.3,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_BELDONGRI_10,ZONE_BLD_02,0.231,-0.242,37.8,35.4,5.4,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_BELDONGRI_10,ZONE_BLD_03,0.341,-0.01,31.0,31.1,24.8,HAZE_CORRECTED,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_BELDONGRI_10,ZONE_BLD_04,0.434,-0.134,35.3,50.1,0.8,CLEAR,2025-09-19T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_NORTH_A,0.124,-0.185,34.8,58.0,21.3,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.176,-0.204,33.0,39.6,5.2,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.263,-0.094,36.3,31.1,17.4,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.297,-0.12,41.6,24.4,2.5,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.384,-0.091,41.5,67.9,15.2,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_01,0.321,-0.02,37.7,56.2,18.0,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_02,0.22,0.055,34.6,32.0,2.0,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_03,0.263,-0.14,39.4,48.8,3.0,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_GUMGAON_02,ZONE_GMG_04,0.22,0.043,33.7,34.1,0.6,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_01,0.136,-0.003,40.6,34.8,7.5,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_02,0.176,0.008,31.7,60.7,11.2,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_03,0.286,0.085,32.8,39.9,12.2,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_04,0.315,-0.068,40.1,49.8,14.6,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_TIRODI_03,ZONE_TRD_05,0.416,-0.247,39.2,45.8,5.8,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_01,0.211,0.095,33.6,46.8,6.0,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_02,0.178,0.011,40.8,35.1,1.3,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_03,0.242,-0.148,35.6,30.6,1.3,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_04,0.221,-0.145,34.1,28.9,14.0,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_DONGRI_04,ZONE_DGB_05,0.21,-0.039,33.0,60.1,4.1,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_01,0.271,0.067,35.5,67.1,21.8,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_02,0.237,-0.207,33.0,58.7,6.0,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_03,0.282,0.094,41.3,23.4,7.9,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_KANDRI_05,ZONE_KND_04,0.404,-0.041,38.3,53.1,0.5,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_01,0.298,-0.12,35.9,43.1,22.3,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_02,0.27,-0.24,32.3,52.1,15.6,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_03,0.326,-0.04,32.1,36.8,24.2,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_MANSAR_06,ZONE_MSR_04,0.268,-0.036,42.0,67.7,17.3,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_01,0.15,-0.013,34.7,33.3,19.1,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_02,0.272,-0.081,36.2,30.3,10.2,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_03,0.266,0.018,36.3,25.2,22.6,HAZE_CORRECTED,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_04,0.319,0.018,34.7,58.4,3.0,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_CHIKLA_07,ZONE_CHK_05,0.202,-0.181,38.9,40.9,7.6,CLEAR,2025-09-23T10:30:00Z
Sentinel-2 MSI,MINE_UKWA_08,ZONE_UKW_01,0.202,-0.07,33.6,50.1,10.1,CLEAR,2025-09-23T10:30:00Z
